geomtype|pass_size|abc|group|g|maxdegbf|lambdas|plabel|num_orbits|deg|BelyiDB_plabel|a_s|b_s|c_s|triples|aut_group
text|smallint|smallint[]|text|smallint|smallint|jsonb|text|smallint|smallint|text|smallint|smallint|smallint|jsonb|jsonb

S|1|[1,1,1]|1T1|0|1|[[1],[1],[1]]|1T1-1_1_1|1|1|1T1-[1,1,1]-1-1-1-g0|1|1|1|[[[1],[1],[1]]]|[[1]]
S|1|[2,2,1]|2T1|0|1|[[2],[2],[1,1]]|2T1-2_2_1.1|1|2|2T1-[2,2,1]-2-2-11-g0|1|2|2|[[[2,1],[2,1],[1,2]]]|[[2,1]]
S|1|[3,3,1]|3T1|0|1|[[3],[3],[1,1,1]]|3T1-3_3_1.1.1|1|3|3T1-[3,3,1]-3-3-111-g0|1|3|3|[[[2,3,1],[3,1,2],[1,2,3]]]|[[2,3,1]]
E|1|[3,3,3]|3T1|1|1|[[3],[3],[3]]|3T1-3_3_3|1|3|3T1-[3,3,3]-3-3-3-g1|3|3|3|[[[2,3,1],[2,3,1],[2,3,1]]]|[[2,3,1]]
S|1|[3,2,2]|3T2|0|1|[[3],[2,1],[2,1]]|3T2-3_2.1_2.1|1|3|3T2-[3,2,2]-3-21-21-g0|2|2|3|[[[2,3,1],[1,3,2],[2,1,3]]]|[[1,2,3]]
S|1|[4,4,1]|4T1|0|1|[[4],[4],[1,1,1,1]]|4T1-4_4_1.1.1.1|1|4|4T1-[4,4,1]-4-4-1111-g0|1|4|4|[[[2,3,4,1],[4,1,2,3],[1,2,3,4]]]|[[2,3,4,1]]
E|1|[4,4,2]|4T1|1|1|[[4],[4],[2,2]]|4T1-4_4_2.2|1|4|4T1-[4,4,2]-4-4-22-g1|2|4|4|[[[2,3,4,1],[2,3,4,1],[3,4,1,2]]]|[[2,3,4,1]]
S|1|[2,2,2]|4T2|0|1|[[2,2],[2,2],[2,2]]|4T2-2.2_2.2_2.2|1|4|4T2-[2,2,2]-22-22-22-g0|2|2|2|[[[4,3,2,1],[2,1,4,3],[3,4,1,2]]]|[[3,4,1,2],[4,3,2,1]]
S|1|[4,2,2]|4T3|0|1|[[4],[2,2],[2,1,1]]|4T3-4_2.2_2.1.1|1|4|4T3-[4,2,2]-4-22-211-g0|2|2|4|[[[2,3,4,1],[2,1,4,3],[3,2,1,4]]]|[[3,4,1,2]]
S|1|[3,3,2]|4T4|0|1|[[3,1],[3,1],[2,2]]|4T4-3.1_3.1_2.2|1|4|4T4-[3,3,2]-31-31-22-g0|2|3|3|[[[2,3,1,4],[2,4,3,1],[3,4,1,2]]]|[[1,2,3,4]]
E|1|[3,3,3]|4T4|0|1|[[3,1],[3,1],[3,1]]|4T4-3.1_3.1_3.1|1|4|4T4-[3,3,3]-31-31-31-g0|3|3|3|[[[2,3,1,4],[3,2,4,1],[1,4,2,3]]]|[[1,2,3,4]]
S|1|[4,3,2]|4T5|0|1|[[4],[3,1],[2,1,1]]|4T5-4_3.1_2.1.1|1|4|4T5-[4,3,2]-4-31-211-g0|2|3|4|[[[2,3,4,1],[1,4,2,3],[2,1,3,4]]]|[[1,2,3,4]]
H|1|[4,4,3]|4T5|1|1|[[4],[4],[3,1]]|4T5-4_4_3.1|1|4|4T5-[4,4,3]-4-4-31-g1|3|4|4|[[[2,3,4,1],[3,1,4,2],[3,2,4,1]]]|[[1,2,3,4]]
S|1|[5,5,1]|5T1|0|1|[[5],[5],[1,1,1,1,1]]|5T1-5_5_1.1.1.1.1|1|5|5T1-[5,5,1]-5-5-11111-g0|1|5|5|[[[2,3,4,5,1],[5,1,2,3,4],[1,2,3,4,5]]]|[[2,3,4,5,1]]
H|3|[5,5,5]|5T1|2|1|[[5],[5],[5]]|5T1-5_5_5|3|5|5T1-[5,5,5]-5-5-5-g2|5|5|5|[[[2,3,4,5,1],[2,3,4,5,1],[4,5,1,2,3]],[[2,3,4,5,1],[4,5,1,2,3],[2,3,4,5,1]],[[2,3,4,5,1],[3,4,5,1,2],[3,4,5,1,2]]]|[[2,3,4,5,1]]
S|1|[5,2,2]|5T2|0|1|[[5],[2,2,1],[2,2,1]]|5T2-5_2.2.1_2.2.1|1|5|5T2-[5,2,2]-5-221-221-g0|2|2|5|[[[2,3,4,5,1],[3,2,1,5,4],[4,3,2,1,5]]]|[[1,2,3,4,5]]
E|2|[4,4,2]|5T3|0|2|[[4,1],[4,1],[2,2,1]]|5T3-4.1_4.1_2.2.1|1|5|5T3-[4,4,2]-41-41-221-g0|2|4|4|[[[4,1,3,5,2],[1,3,5,2,4],[4,3,2,1,5]],[[2,5,3,1,4],[5,3,1,4,2],[4,3,2,1,5]]]|[[1,2,3,4,5]]
H|2|[5,4,4]|5T3|1|2|[[5],[4,1],[4,1]]|5T3-5_4.1_4.1|1|5|5T3-[5,4,4]-5-41-41-g1|4|4|5|[[[2,3,4,5,1],[1,3,5,2,4],[3,1,4,2,5]],[[2,3,4,5,1],[2,5,3,1,4],[2,4,1,3,5]]]|[[1,2,3,4,5]]
S|1|[5,2,3]|5T4|0|1|[[5],[2,2,1],[3,1,1]]|5T4-5_2.2.1_3.1.1|1|5|5T4-[5,2,3]-5-221-311-g0|2|3|5|[[[3,5,4,2,1],[1,5,4,3,2],[2,3,1,4,5]]]|[[1,2,3,4,5]]
H|1|[5,3,3]|5T4|0|1|[[5],[3,1,1],[3,1,1]]|5T4-5_3.1.1_3.1.1|1|5|5T4-[5,3,3]-5-311-311-g0|3|3|5|[[[3,5,2,1,4],[2,3,1,4,5],[4,2,3,5,1]]]|[[1,2,3,4,5]]
H|1|[5,5,2]|5T4|1|1|[[5],[5],[2,2,1]]|5T4-5_5_2.2.1|1|5|5T4-[5,5,2]-5-5-221-g1|2|5|5|[[[2,3,4,5,1],[3,1,4,5,2],[4,2,5,1,3]]]|[[1,2,3,4,5]]
H|2|[5,5,3]|5T4|1|1|[[5],[5],[3,1,1]]|5T4-5_5_3.1.1|2|5|5T4-[5,5,3]-5-5-311-g1|3|5|5|[[[2,3,4,5,1],[3,1,5,2,4],[3,2,4,1,5]],[[2,3,4,5,1],[5,1,4,2,3],[1,2,4,5,3]]]|[[1,2,3,4,5]]
H|1|[5,5,5]|5T4|2|1|[[5],[5],[5]]|5T4-5_5_5|1|5|5T4-[5,5,5]-5-5-5-g2|5|5|5|[[[2,3,4,5,1],[3,5,4,2,1],[2,5,4,1,3]]]|[[1,2,3,4,5]]
H|1|[4,2,6]|5T5|0|1|[[4,1],[2,2,1],[3,2]]|5T5-4.1_2.2.1_3.2|1|5|5T5-[4,2,6]-41-221-32-g0|2|4|6|[[[2,4,1,3,5],[5,3,2,4,1],[2,5,4,3,1]]]|[[1,2,3,4,5]]
H|1|[4,4,3]|5T5|0|1|[[4,1],[4,1],[3,1,1]]|5T5-4.1_4.1_3.1.1|1|5|5T5-[4,4,3]-41-41-311-g0|3|4|4|[[[3,2,4,5,1],[1,5,2,3,4],[2,3,1,4,5]]]|[[1,2,3,4,5]]
H|2|[4,6,3]|5T5|0|2|[[4,1],[3,2],[3,1,1]]|5T5-4.1_3.2_3.1.1|1|5|5T5-[4,6,3]-41-32-311-g0|3|4|6|[[[2,4,3,5,1],[3,5,1,2,4],[2,3,1,4,5]],[[4,2,5,3,1],[4,5,2,1,3],[2,3,1,4,5]]]|[[1,2,3,4,5]]
H|1|[5,2,6]|5T5|0|1|[[5],[2,1,1,1],[3,2]]|5T5-5_2.1.1.1_3.2|1|5|5T5-[5,2,6]-5-2111-32-g0|2|5|6|[[[3,5,2,1,4],[2,1,3,4,5],[4,3,2,5,1]]]|[[1,2,3,4,5]]
H|1|[5,4,2]|5T5|0|1|[[5],[4,1],[2,1,1,1]]|5T5-5_4.1_2.1.1.1|1|5|5T5-[5,4,2]-5-41-2111-g0|2|4|5|[[[2,3,4,5,1],[1,5,2,3,4],[2,1,3,4,5]]]|[[1,2,3,4,5]]
H|1|[5,4,4]|5T5|1|1|[[5],[4,1],[4,1]]|5T5-5_4.1_4.1|1|5|5T5-[5,4,4]-5-41-41-g1|4|4|5|[[[4,5,1,2,3],[2,3,4,1,5],[2,3,5,4,1]]]|[[1,2,3,4,5]]
H|2|[5,6,4]|5T5|1|2|[[5],[3,2],[4,1]]|5T5-5_3.2_4.1|1|5|5T5-[5,6,4]-5-32-41-g1|4|5|6|[[[2,3,4,5,1],[2,3,1,5,4],[4,3,1,2,5]],[[2,3,4,5,1],[3,5,1,2,4],[2,3,4,1,5]]]|[[1,2,3,4,5]]
H|1|[5,6,6]|5T5|1|1|[[5],[3,2],[3,2]]|5T5-5_3.2_3.2|1|5|5T5-[5,6,6]-5-32-32-g1|5|6|6|[[[4,5,1,2,3],[2,3,1,5,4],[2,5,4,3,1]]]|[[1,2,3,4,5]]
H|1|[6,6,2]|5T5|0|1|[[3,2],[3,2],[2,2,1]]|5T5-3.2_3.2_2.2.1|1|5|5T5-[6,6,2]-32-32-221-g0|2|6|6|[[[2,3,1,5,4],[5,1,4,3,2],[4,2,5,1,3]]]|[[1,2,3,4,5]]
H|1|[6,6,3]|5T5|0|1|[[3,2],[3,2],[3,1,1]]|5T5-3.2_3.2_3.1.1|1|5|5T5-[6,6,3]-32-32-311-g0|3|6|6|[[[2,3,1,5,4],[4,3,2,5,1],[2,5,3,4,1]]]|[[1,2,3,4,5]]
E|1|[6,2,3]|6T1|1|1|[[6],[2,2,2],[3,3]]|6T1-6_2.2.2_3.3|1|6|6T1-[6,2,3]-6-222-33-g1|2|3|6|[[[2,3,4,5,6,1],[4,5,6,1,2,3],[3,4,5,6,1,2]]]|[[5,6,1,2,3,4],[6,1,2,3,4,5]]
S|1|[6,6,1]|6T1|0|1|[[6],[6],[1,1,1,1,1,1]]|6T1-6_6_1.1.1.1.1.1|1|6|6T1-[6,6,1]-6-6-111111-g0|1|6|6|[[[2,3,4,5,6,1],[6,1,2,3,4,5],[1,2,3,4,5,6]]]|[[2,3,4,5,6,1]]
H|1|[6,6,3]|6T1|2|1|[[6],[6],[3,3]]|6T1-6_6_3.3|1|6|6T1-[6,6,3]-6-6-33-g2|3|6|6|[[[2,3,4,5,6,1],[2,3,4,5,6,1],[5,6,1,2,3,4]]]|[[2,3,4,5,6,1]]
E|2|[4,4,2]|6T10|0|2|[[4,2],[4,2],[2,2,1,1]]|6T10-4.2_4.2_2.2.1.1|1|6|6T10-[4,4,2]-42-42-2211-g0|2|4|4|[[[4,1,6,5,2,3],[6,1,2,5,4,3],[3,4,1,2,5,6]],[[4,1,6,5,2,3],[2,5,4,3,6,1],[1,2,5,6,3,4]]]|[[1,2,3,4,5,6]]
H|1|[4,4,3]|6T10|0|1|[[4,2],[4,2],[3,1,1,1]]|6T10-4.2_4.2_3.1.1.1|1|6|6T10-[4,4,3]-42-42-3111-g0|3|4|4|[[[4,1,6,5,2,3],[2,3,6,5,4,1],[1,4,3,6,5,2]]]|[[1,2,3,4,5,6]]
H|1|[4,4,3]|6T10|1|1|[[4,2],[4,2],[3,3]]|6T10-4.2_4.2_3.3|1|6|6T10-[4,4,3]-42-42-33-g1|3|4|4|[[[4,1,6,5,2,3],[4,1,2,3,6,5],[3,6,5,2,1,4]]]|[[1,2,3,4,5,6]]
H|1|[6,2,4]|6T11|0|1|[[6],[2,2,1,1],[4,1,1]]|6T11-6_2.2.1.1_4.1.1|1|6|6T11-[6,2,4]-6-2211-411-g0|2|4|6|[[[5,6,4,2,3,1],[5,4,3,2,1,6],[6,2,1,3,5,4]]]|[[4,5,6,1,2,3]]
H|1|[6,4,2]|6T11|1|1|[[6],[4,2],[2,2,2]]|6T11-6_4.2_2.2.2|1|6|6T11-[6,4,2]-6-42-222-g1|2|4|6|[[[3,4,2,6,1,5],[2,4,6,5,1,3],[4,6,5,1,3,2]]]|[[4,5,6,1,2,3]]
H|1|[6,4,4]|6T11|1|1|[[6],[4,1,1],[4,2]]|6T11-6_4.1.1_4.2|1|6|6T11-[6,4,4]-6-411-42-g1|4|4|6|[[[6,1,2,3,4,5],[6,2,1,3,5,4],[2,4,6,5,1,3]]]|[[4,5,6,1,2,3]]
S|1|[5,2,3]|6T12|0|1|[[5,1],[2,2,1,1],[3,3]]|6T12-5.1_2.2.1.1_3.3|1|6|6T12-[5,2,3]-51-2211-33-g0|2|3|5|[[[2,3,4,6,5,1],[4,2,3,1,6,5],[5,4,2,3,6,1]]]|[[1,2,3,4,5,6]]
H|1|[5,3,3]|6T12|1|1|[[5,1],[3,3],[3,3]]|6T12-5.1_3.3_3.3|1|6|6T12-[5,3,3]-51-33-33-g1|3|3|5|[[[4,1,5,3,2,6],[3,1,2,6,4,5],[3,6,5,2,1,4]]]|[[1,2,3,4,5,6]]
H|1|[5,5,2]|6T12|0|1|[[5,1],[5,1],[2,2,1,1]]|6T12-5.1_5.1_2.2.1.1|1|6|6T12-[5,5,2]-51-51-2211-g0|2|5|5|[[[2,3,4,6,5,1],[5,1,3,2,6,4],[5,2,4,3,1,6]]]|[[1,2,3,4,5,6]]
H|2|[5,5,3]|6T12|1|1|[[5,1],[5,1],[3,3]]|6T12-5.1_5.1_3.3|2|6|6T12-[5,5,3]-51-51-33-g1|3|5|5|[[[2,3,4,6,5,1],[2,6,1,4,3,5],[2,3,1,5,6,4]],[[2,3,4,6,5,1],[2,4,3,6,1,5],[4,5,1,3,6,2]]]|[[1,2,3,4,5,6]]
H|1|[5,5,5]|6T12|1|1|[[5,1],[5,1],[5,1]]|6T12-5.1_5.1_5.1|1|6|6T12-[5,5,5]-51-51-51-g1|5|5|5|[[[2,3,4,6,5,1],[6,5,3,1,4,2],[1,4,6,3,2,5]]]|[[1,2,3,4,5,6]]
H|1|[4,6,2]|6T13|0|1|[[4,2],[3,2,1],[2,2,2]]|6T13-4.2_3.2.1_2.2.2|1|6|6T13-[4,6,2]-42-321-222-g0|2|4|6|[[[2,5,6,1,4,3],[3,6,1,2,5,4],[6,3,2,5,4,1]]]|[[1,2,3,4,5,6]]
H|1|[6,2,4]|6T13|0|1|[[6],[2,1,1,1,1],[4,2]]|6T13-6_2.1.1.1.1_4.2|1|6|6T13-[6,2,4]-6-21111-42-g0|2|4|6|[[[6,1,4,5,2,3],[3,2,1,4,5,6],[2,5,6,1,4,3]]]|[[1,2,3,4,5,6]]
H|2|[6,4,6]|6T13|1|2|[[6],[4,2],[3,2,1]]|6T13-6_4.2_3.2.1|1|6|6T13-[6,4,6]-6-42-321-g1|4|6|6|[[[2,5,4,1,6,3],[2,5,6,1,4,3],[5,4,3,6,1,2]],[[2,3,4,5,6,1],[2,5,6,1,4,3],[3,4,1,6,5,2]]]|[[1,2,3,4,5,6]]
H|1|[4,4,3]|6T14|0|1|[[4,1,1],[4,1,1],[3,3]]|6T14-4.1.1_4.1.1_3.3|1|6|6T14-[4,4,3]-411-411-33-g0|3|4|4|[[[4,2,6,3,5,1],[2,5,3,4,6,1],[5,1,4,6,2,3]]]|[[1,2,3,4,5,6]]
H|1|[5,4,2]|6T14|0|1|[[5,1],[4,1,1],[2,2,2]]|6T14-5.1_4.1.1_2.2.2|1|6|6T14-[5,4,2]-51-411-222-g0|2|4|5|[[[2,3,4,6,5,1],[1,6,3,2,4,5],[2,1,4,3,6,5]]]|[[1,2,3,4,5,6]]
H|1|[5,4,4]|6T14|0|1|[[5,1],[4,1,1],[4,1,1]]|6T14-5.1_4.1.1_4.1.1|1|6|6T14-[5,4,4]-51-411-411-g0|4|4|5|[[[3,4,2,5,1,6],[1,6,3,2,4,5],[6,3,1,4,5,2]]]|[[1,2,3,4,5,6]]
H|2|[6,3,4]|6T14|1|2|[[6],[3,3],[4,1,1]]|6T14-6_3.3_4.1.1|1|6|6T14-[6,3,4]-6-33-411-g1|3|4|6|[[[2,3,6,1,4,5],[5,1,4,6,2,3],[3,2,5,1,4,6]],[[5,1,6,3,4,2],[5,1,4,6,2,3],[5,4,3,1,2,6]]]|[[1,2,3,4,5,6]]
H|1|[6,4,2]|6T14|0|1|[[6],[4,1,1],[2,2,1,1]]|6T14-6_4.1.1_2.2.1.1|1|6|6T14-[6,4,2]-6-411-2211-g0|2|4|6|[[[6,4,2,1,3,5],[1,3,6,2,5,4],[6,2,5,4,3,1]]]|[[1,2,3,4,5,6]]
H|2|[6,4,5]|6T14|1|2|[[6],[4,1,1],[5,1]]|6T14-6_4.1.1_5.1|1|6|6T14-[6,4,5]-6-411-51-g1|4|5|6|[[[6,4,2,1,3,5],[1,4,3,5,6,2],[2,3,4,6,5,1]],[[4,1,2,5,6,3],[5,2,3,6,4,1],[2,3,4,6,5,1]]]|[[1,2,3,4,5,6]]
H|1|[6,5,2]|6T14|1|1|[[6],[5,1],[2,2,2]]|6T14-6_5.1_2.2.2|1|6|6T14-[6,5,2]-6-51-222-g1|2|5|6|[[[6,4,2,1,3,5],[3,4,2,5,1,6],[2,1,4,3,6,5]]]|[[1,2,3,4,5,6]]
H|1|[6,6,2]|6T14|1|1|[[6],[6],[2,2,1,1]]|6T14-6_6_2.2.1.1|1|6|6T14-[6,6,2]-6-6-2211-g1|2|6|6|[[[6,4,2,1,3,5],[5,6,4,2,3,1],[3,5,1,4,2,6]]]|[[1,2,3,4,5,6]]
H|1|[6,6,3]|6T14|2|1|[[6],[6],[3,3]]|6T14-6_6_3.3|1|6|6T14-[6,6,3]-6-6-33-g2|3|6|6|[[[6,4,2,1,3,5],[3,5,4,6,1,2],[3,1,2,6,4,5]]]|[[1,2,3,4,5,6]]
H|1|[6,6,5]|6T14|2|1|[[6],[6],[5,1]]|6T14-6_6_5.1|1|6|6T14-[6,6,5]-6-6-51-g2|5|6|6|[[[6,4,2,1,3,5],[2,3,6,1,4,5],[5,2,6,1,3,4]]]|[[1,2,3,4,5,6]]
H|1|[4,3,3]|6T15|0|1|[[4,2],[3,1,1,1],[3,3]]|6T15-4.2_3.1.1.1_3.3|1|6|6T15-[4,3,3]-42-3111-33-g0|3|3|4|[[[3,1,4,2,6,5],[1,2,4,5,3,6],[2,3,1,5,6,4]]]|[[1,2,3,4,5,6]]
H|2|[4,4,4]|6T15|1|2|[[4,2],[4,2],[4,2]]|6T15-4.2_4.2_4.2|1|6|6T15-[4,4,4]-42-42-42-g1|4|4|4|[[[2,3,4,1,6,5],[6,3,1,5,4,2],[5,3,6,2,1,4]],[[2,3,4,1,6,5],[6,3,5,2,4,1],[5,6,4,2,1,3]]]|[[1,2,3,4,5,6]]
H|1|[5,3,3]|6T15|0|1|[[5,1],[3,3],[3,1,1,1]]|6T15-5.1_3.3_3.1.1.1|1|6|6T15-[5,3,3]-51-33-3111-g0|3|3|5|[[[6,4,3,5,1,2],[3,5,6,2,4,1],[2,3,1,4,5,6]]]|[[1,2,3,4,5,6]]
H|2|[5,4,2]|6T15|0|2|[[5,1],[4,2],[2,2,1,1]]|6T15-5.1_4.2_2.2.1.1|1|6|6T15-[5,4,2]-51-42-2211-g0|2|4|5|[[[6,3,5,4,1,2],[6,5,4,2,3,1],[2,1,4,3,5,6]],[[3,2,5,6,4,1],[2,6,5,1,3,4],[2,1,4,3,5,6]]]|[[1,2,3,4,5,6]]
H|2|[5,4,3]|6T15|0|2|[[5,1],[4,2],[3,1,1,1]]|6T15-5.1_4.2_3.1.1.1|1|6|6T15-[5,4,3]-51-42-3111-g0|3|4|5|[[[2,4,3,5,6,1],[3,6,1,2,4,5],[2,3,1,4,5,6]],[[4,2,5,3,6,1],[4,6,2,1,3,5],[2,3,1,4,5,6]]]|[[1,2,3,4,5,6]]
H|2|[5,4,3]|6T15|1|2|[[5,1],[4,2],[3,3]]|6T15-5.1_4.2_3.3|1|6|6T15-[5,4,3]-51-42-33-g1|3|4|5|[[[2,3,4,5,1,6],[2,5,1,6,3,4],[2,3,1,5,6,4]],[[6,3,5,4,1,2],[2,5,6,1,4,3],[2,3,1,5,6,4]]]|[[1,2,3,4,5,6]]
H|4|[5,4,4]|6T15|1|2|[[5,1],[4,2],[4,2]]|6T15-5.1_4.2_4.2|2|6|6T15-[5,4,4]-51-42-42-g1|4|4|5|[[[5,2,6,1,3,4],[2,3,4,1,6,5],[3,1,6,5,4,2]],[[5,6,3,2,4,1],[2,3,4,1,6,5],[5,3,2,6,4,1]],[[5,6,3,1,2,4],[2,3,4,1,6,5],[3,6,2,5,4,1]],[[2,3,6,1,5,4],[2,3,4,1,6,5],[3,4,1,5,6,2]]]|[[1,2,3,4,5,6]]
H|2|[5,5,2]|6T15|0|2|[[5,1],[5,1],[2,2,1,1]]|6T15-5.1_5.1_2.2.1.1|1|6|6T15-[5,5,2]-51-51-2211-g0|2|5|5|[[[2,3,5,4,6,1],[1,6,4,2,3,5],[2,1,4,3,5,6]],[[3,2,4,5,6,1],[2,6,3,1,4,5],[2,1,4,3,5,6]]]|[[1,2,3,4,5,6]]
H|1|[5,5,3]|6T15|0|1|[[5,1],[5,1],[3,1,1,1]]|6T15-5.1_5.1_3.1.1.1|1|6|6T15-[5,5,3]-51-51-3111-g0|3|5|5|[[[3,2,4,5,6,1],[1,6,2,3,4,5],[2,3,1,4,5,6]]]|[[1,2,3,4,5,6]]
H|1|[5,5,3]|6T15|1|1|[[5,1],[5,1],[3,3]]|6T15-5.1_5.1_3.3|1|6|6T15-[5,5,3]-51-51-33-g1|3|5|5|[[[6,4,2,1,5,3],[6,4,3,1,2,5],[2,3,1,5,6,4]]]|[[1,2,3,4,5,6]]
H|8|[5,5,4]|6T15|1|4|[[5,1],[5,1],[4,2]]|6T15-5.1_5.1_4.2|2|6|6T15-[5,5,4]-51-51-42-g1|4|5|5|[[[3,1,4,5,2,6],[3,2,5,1,6,4],[2,3,4,1,6,5]],[[2,3,5,4,6,1],[4,6,1,2,5,3],[2,3,4,1,6,5]],[[2,4,3,5,6,1],[2,6,1,3,5,4],[2,3,4,1,6,5]],[[3,2,4,5,6,1],[3,6,2,1,5,4],[2,3,4,1,6,5]],[[5,1,3,6,4,2],[5,2,6,3,4,1],[2,3,4,1,6,5]],[[4,6,3,5,2,1],[1,6,5,3,2,4],[2,3,4,1,6,5]],[[3,4,2,5,1,6],[2,5,3,1,6,4],[2,3,4,1,6,5]],[[2,4,5,3,1,6],[2,5,1,4,6,3],[2,3,4,1,6,5]]]|[[1,2,3,4,5,6]]
H|8|[5,5,5]|6T15|1|2|[[5,1],[5,1],[5,1]]|6T15-5.1_5.1_5.1|4|6|6T15-[5,5,5]-51-51-51-g1|5|5|5|[[[2,3,4,5,1,6],[3,1,4,6,5,2],[5,2,6,1,3,4]],[[2,3,4,5,1,6],[3,1,5,4,6,2],[3,2,6,1,4,5]],[[2,3,4,5,1,6],[2,5,3,6,4,1],[2,6,1,3,5,4]],[[2,3,4,5,1,6],[4,1,3,5,6,2],[4,2,6,3,1,5]],[[2,3,4,5,1,6],[4,2,5,3,6,1],[3,6,2,4,1,5]],[[2,3,4,5,1,6],[3,2,5,6,4,1],[3,6,2,1,5,4]],[[2,3,4,5,1,6],[4,1,3,6,2,5],[6,2,5,3,1,4]],[[2,3,4,5,1,6],[1,3,5,6,4,2],[3,1,6,2,5,4]]]|[[1,2,3,4,5,6]]
H|2|[4,4,4]|6T16|0|2|[[4,2],[4,1,1],[4,1,1]]|6T16-4.2_4.1.1_4.1.1|1|6|6T16-[4,4,4]-42-411-411-g0|4|4|4|[[[2,3,4,1,6,5],[4,2,3,5,6,1],[1,6,2,3,5,4]],[[2,3,4,1,6,5],[1,5,2,3,4,6],[5,1,3,4,6,2]]]|[[1,2,3,4,5,6]]
H|1|[4,6,3]|6T16|0|1|[[4,1,1],[3,2,1],[3,3]]|6T16-4.1.1_3.2.1_3.3|1|6|6T16-[4,6,3]-411-321-33-g0|3|4|6|[[[2,3,4,1,5,6],[6,4,3,5,2,1],[2,6,5,3,4,1]]]|[[1,2,3,4,5,6]]
H|4|[4,6,4]|6T16|0|4|[[4,2],[3,2,1],[4,1,1]]|6T16-4.2_3.2.1_4.1.1|1|6|6T16-[4,6,4]-42-321-411-g0|4|4|6|[[[2,3,4,1,6,5],[3,1,2,5,4,6],[5,2,3,1,6,4]],[[2,3,4,1,6,5],[5,3,2,4,6,1],[4,6,3,2,5,1]],[[2,3,4,1,6,5],[6,1,4,3,5,2],[3,2,6,4,1,5]],[[2,3,4,1,6,5],[6,2,4,3,1,5],[3,5,2,4,1,6]]]|[[1,2,3,4,5,6]]
H|4|[4,6,6]|6T16|0|4|[[4,2],[3,2,1],[3,2,1]]|6T16-4.2_3.2.1_3.2.1|1|6|6T16-[4,6,6]-42-321-321-g0|4|6|6|[[[4,6,1,5,3,2],[2,3,1,5,4,6],[2,6,4,3,5,1]],[[2,4,1,3,6,5],[5,3,2,4,6,1],[2,6,4,3,5,1]],[[4,1,6,5,2,3],[2,6,4,3,5,1],[1,5,2,6,3,4]],[[3,5,6,1,2,4],[2,3,1,5,4,6],[5,4,3,6,1,2]]]|[[1,2,3,4,5,6]]
H|1|[5,6,2]|6T16|0|1|[[5,1],[3,2,1],[2,2,2]]|6T16-5.1_3.2.1_2.2.2|1|6|6T16-[5,6,2]-51-321-222-g0|2|5|6|[[[2,3,4,5,1,6],[3,2,1,5,6,4],[4,3,2,1,6,5]]]|[[1,2,3,4,5,6]]
H|4|[5,6,4]|6T16|0|4|[[5,1],[3,2,1],[4,1,1]]|6T16-5.1_3.2.1_4.1.1|1|6|6T16-[5,6,4]-51-321-411-g0|4|5|6|[[[3,1,5,4,6,2],[4,2,6,1,3,5],[2,3,4,1,5,6]],[[5,1,3,6,4,2],[5,2,6,3,1,4],[2,3,4,1,5,6]],[[4,6,3,5,2,1],[1,6,5,3,4,2],[2,3,4,1,5,6]],[[3,5,2,4,6,1],[4,6,3,1,2,5],[2,3,4,1,5,6]]]|[[1,2,3,4,5,6]]
H|7|[5,6,6]|6T16|0|6|[[5,1],[3,2,1],[3,2,1]]|6T16-5.1_3.2.1_3.2.1|2|6|6T16-[5,6,6]-51-321-321-g0|5|6|6|[[[2,6,3,1,4,5],[2,3,1,5,4,6],[5,3,2,4,6,1]],[[4,2,6,5,3,1],[2,3,1,5,4,6],[6,1,4,3,5,2]],[[2,5,3,6,4,1],[2,3,1,5,4,6],[6,3,2,4,1,5]],[[5,6,2,4,3,1],[2,3,1,5,4,6],[6,2,4,5,3,1]],[[3,6,5,4,2,1],[2,3,1,5,4,6],[6,4,3,5,2,1]],[[4,1,3,6,2,5],[2,3,1,5,4,6],[1,4,2,3,6,5]],[[4,6,3,5,2,1],[2,3,1,5,4,6],[6,4,2,3,5,1]]]|[[1,2,3,4,5,6]]
H|3|[6,2,6]|6T16|0|3|[[6],[2,2,1,1],[3,2,1]]|6T16-6_2.2.1.1_3.2.1|1|6|6T16-[6,2,6]-6-2211-321-g0|2|6|6|[[[3,6,4,2,1,5],[2,1,4,3,5,6],[5,3,2,4,6,1]],[[6,5,1,3,4,2],[2,1,4,3,5,6],[4,6,3,5,1,2]],[[6,4,5,3,1,2],[2,1,4,3,5,6],[5,6,3,1,4,2]]]|[[1,2,3,4,5,6]]
H|1|[6,3,4]|6T16|0|1|[[6],[3,1,1,1],[4,1,1]]|6T16-6_3.1.1.1_4.1.1|1|6|6T16-[6,3,4]-6-3111-411-g0|3|4|6|[[[4,1,5,3,6,2],[1,2,6,4,3,5],[2,3,4,1,5,6]]]|[[1,2,3,4,5,6]]
H|4|[6,4,4]|6T16|1|4|[[6],[4,1,1],[4,2]]|6T16-6_4.1.1_4.2|1|6|6T16-[6,4,4]-6-411-42-g1|4|4|6|[[[3,1,4,5,6,2],[3,2,6,1,5,4],[2,3,4,1,6,5]],[[2,4,5,3,6,1],[2,6,1,4,5,3],[2,3,4,1,6,5]],[[3,4,2,5,6,1],[2,6,3,1,5,4],[2,3,4,1,6,5]],[[5,6,2,3,4,1],[5,6,3,4,2,1],[2,3,4,1,6,5]]]|[[1,2,3,4,5,6]]
